Tue, 2024.04.16 0:00, 0:00, USD, yel, Business Inventories m/m,  0.0% , 0.3%, 0.4%
Tue, 2024.04.16 0:00, 0:00, USD, yel, NAHB Housing Market Index,  51 , 51, 51
Tue, 2024.04.16 0:00, 0:00, USD, yel, IMF Meetings,   , , 
Tue, 2024.04.16 10:00, 10:00, USD, yel, FOMC Member Daly Speaks,   , , 
Tue, 2024.04.16 11:30, 11:30, CNY, yel, New Home Prices m/m,  -0.36% , , -0.34%
Tue, 2024.04.16 12:00, 12:00, CNY, red, Industrial Production y/y,  7.0% , 6.0%, 4.5%
Tue, 2024.04.16 12:00, 12:00, CNY, ora, GDP q/y,  5.2% , 4.8%, 5.3%
Tue, 2024.04.16 12:00, 12:00, CNY, ora, Retail Sales y/y,  5.5% , 5.1%, 3.1%
Tue, 2024.04.16 12:00, 12:00, CNY, yel, Fixed Asset Investment ytd/y,  4.2% , 4.0%, 4.5%
Tue, 2024.04.16 12:00, 12:00, CNY, yel, NBS Press Conference,   , , 
Tue, 2024.04.16 12:00, 12:00, CNY, yel, Unemployment Rate,  5.3% , 5.2%, 5.2%
Tue, 2024.04.16 16:00, 16:00, EUR, yel, German WPI m/m,  -0.1% , 0.1%, 0.2%
Tue, 2024.04.16 16:00, 16:00, GBP, red, Claimant Count Change,  4.1K , 17.2K, 10.9K
Tue, 2024.04.16 16:00, 16:00, GBP, ora, Average Earnings Index 3m/y,  5.6% , 5.5%, 5.6%
Tue, 2024.04.16 16:00, 16:00, GBP, yel, Unemployment Rate,  3.9% , 4.0%, 4.2%
Tue, 2024.04.16 19:00, 19:00, EUR, yel, Italian Trade Balance,  2.50B , 3.44B, 6.03B
Tue, 2024.04.16 19:00, 19:00, EUR, yel, Trade Balance,  27.1B , 27.3B, 17.9B
Tue, 2024.04.16 19:00, 19:00, EUR, yel, ZEW Economic Sentiment,  33.5 , 37.8, 43.9
Tue, 2024.04.16 19:00, 19:00, EUR, yel, German ZEW Economic Sentiment,  31.7 , 35.9, 42.9
Tue, 2024.04.16 22:15, 22:15, CAD, yel, Housing Starts,  260K , 244K, 242K
Tue, 2024.04.16 22:30, 22:30, CAD, red, CPI m/m,  0.3% , 0.7%, 0.6%
Tue, 2024.04.16 22:30, 22:30, CAD, red, Median CPI y/y,  3.0% , 3.0%, 2.8%
Tue, 2024.04.16 22:30, 22:30, CAD, red, Trimmed CPI y/y,  3.2% , 3.2%, 3.1%
Tue, 2024.04.16 22:30, 22:30, CAD, ora, Common CPI y/y,  3.1% , 3.1%, 2.9%
Tue, 2024.04.16 22:30, 22:30, CAD, yel, Core CPI m/m,  0.1% , , 0.5%
Tue, 2024.04.16 22:30, 22:30, USD, ora, Building Permits,  1.52M , 1.51M, 1.46M
Tue, 2024.04.16 22:30, 22:30, USD, yel, Housing Starts,  1.55M , 1.48M, 1.32M
Tue, 2024.04.16 23:00, 23:00, USD, yel, FOMC Member Jefferson Speaks,   , , 
Tue, 2024.04.16 23:15, 23:15, USD, ora, Industrial Production m/m,  0.4% , 0.4%, 0.4%
Tue, 2024.04.16 23:15, 23:15, USD, yel, Capacity Utilization Rate,  78.2% , 78.5%, 78.4%
Tue, 2024.04.16 23:30, 23:30, GBP, yel, CB Leading Index m/m,  0.0% , , -0.3%
Wed, , , , yel, IMF Meetings,   , , 
Wed, 2024.04.17 0:17, 0:17, NZD, yel, GDT Price Index,  2.8% , , 0.1%
Wed, 2024.04.17 0:30, 0:30, AUD, yel, CB Leading Index m/m,  0.3% , , -0.3%
Wed, 2024.04.17 0:30, 0:30, EUR, yel, German Buba President Nagel Speaks,   , , 
Wed, 2024.04.17 2:30, 2:30, USD, yel, FOMC Member Williams Speaks,   , , 
Wed, 2024.04.17 3:00, 3:00, GBP, red, BOE Gov Bailey Speaks,   , , 
Wed, 2024.04.17 3:00, 3:00, USD, ora, FOMC Member Barkin Speaks,   , , 
Wed, 2024.04.17 3:15, 3:15, CAD, red, BOC Gov Macklem Speaks,   , , 
Wed, 2024.04.17 3:15, 3:15, USD, red, Fed Chair Powell Speaks,   , , 
Wed, 2024.04.17 6:00, 6:00, CAD, yel, Annual Budget Release,   , , 
Wed, 2024.04.17 8:45, 8:45, NZD, red, CPI q/q,  0.5% , 0.6%, 0.6%
Wed, 2024.04.17 9:50, 9:50, JPY, yel, Trade Balance,  -0.57T , -0.30T, -0.70T
Wed, 2024.04.17 10:30, 10:30, AUD, yel, MI Leading Index m/m,  0.1% , , -0.1%
Wed, 2024.04.17 16:00, 16:00, GBP, red, CPI y/y,  3.4% , 3.1%, 3.2%
Wed, 2024.04.17 16:00, 16:00, GBP, yel, Core CPI y/y,  4.5% , 4.1%, 4.2%
